Year,Ruling Party ,Event,News Headline,News Body,Source Link,Date,News Corpora Name,Gov-Leaning,Gov-Critique,Neutral
2012,Awami League,সোনালী ব্যাংক হলমার্ক ঋণ কেলেঙ্কারি,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2012,,তাজরীন ফ্যাশন অগ্নিকাণ্ড,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2013,,শাহবাগ আন্দোলন,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2013,,হেফাজতে ইসলামের লংমার্চ ও ঢাকা অবরোধ,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2013,,রানা প্লাজা ধস,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2014,,২০১৪ সালের সংসদ নির্বাচন,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2014,,আইনশৃঙ্খলা বাহিনী কর্তৃক বিচারবহির্ভূত ‘ক্রশফায়ার’ ,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2015,,বিএনপি পরিবহন অবরোধ,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2015,,রামপাল কয়লা বিদ্যুৎ কেন্দ্র চুক্তি,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2015,,টাঙ্গাইল ইউনিয়ন পৌর সংঘর্ষ,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2016,,হলি আর্টিজান হামলা,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2016,,বেসরকারি বিশ্ববিদ্যালয়ে ভ্যাট আন্দোলন,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2016,,রামপাল পরিবেশ আন্দোলন বৃদ্ধি,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2017,,রোহিঙ্গা শরণার্থী আসা,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2018,,ডিজিটাল নিরাপত্তা আইন পাস,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2018,,কোটা সংস্কার আন্দোলন,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2018,,ছাত্রদের নিরাপদ সড়ক আন্দোলন,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2018,,ডিএসএ (ডিজিটাল আইনের) কার্যকর,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2018,,২০১৮ সালের সংসদ নির্বাচন,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2019,,‘ক্যাসিনো রাজা’ অভিযান,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2019,,নুসরাত হত্যাকাণ্ড,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2019,,আবরার ফাহাদ হত্যা,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2020,,কোভিড১৯ গোটা দেশে শুরু,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2020,,গার্মেন্টস খোলা ও শ্রমিক মজুরি,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2020,,ধর্ষণবিরোধী আন্দোলন ও মৃত্যুদণ্ড আইন,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2021,,মোদির বাংলাদেশ সফর বিরোধিতা,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2021,,আল-জাজিরা ডকুমেন্টারি ‘অল দ্য পিএম'স মেন’,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2021,,লেখক মুশতাক আহমেদ কারাগারে মৃত্যু,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2021,,পদ্মা সেতু সংযোগ সম্পন্ন,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2021,,সাংবাদিক রোজিনা ইসলাম মামলা,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2021,,জ্বালানি মূল্য বৃদ্ধি,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2022,,রামপাল ইউনিট-১ চালু,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
